x,y,collision
-7.36678,-1.34878,0
-7.41429,-1.34201,0
-7.46520,-1.33530,0
-7.51332,-1.32946,0
-7.55928,-1.32384,0
-7.60863,-1.31825,0
-7.65459,-1.31333,0
-7.70085,-1.30865,0
-7.74654,-1.30438,0
-7.79311,-1.30012,0
-7.83890,-1.29622,0
-7.88701,-1.29230,0
-7.93593,-1.28848,0
-7.98726,-1.28505,0
-8.03630,-1.28246,0
-8.08624,-1.28076,0
-8.13462,-1.27930,0
-8.18330,-1.27894,0
-8.22078,-1.27887,0
-8.25683,-1.27926,0
-8.29195,-1.28026,0
-8.32912,-1.28164,0
-8.36047,-1.28300,0
-8.39227,-1.28469,0
-8.42864,-1.28685,0
-8.46832,-1.28979,0
-8.50340,-1.29260,0
-8.54367,-1.29626,0
-8.57770,-1.29945,0
-8.61248,-1.30321,0
-8.64835,-1.30749,0
-8.68530,-1.31204,0
-8.72260,-1.31690,0
-8.75846,-1.32197,0
-8.79490,-1.32756,0
-8.82901,-1.33260,0
-8.86522,-1.33817,0
-8.90121,-1.34382,0
-8.93877,-1.34969,0
-8.97896,-1.35655,0
-9.01425,-1.36258,0
-9.05632,-1.36983,0
-9.09613,-1.37659,0
-9.13734,-1.38467,0
-9.18118,-1.39390,0
-9.22591,-1.40404,0
-9.27042,-1.41474,0
-9.31687,-1.42610,0
-9.35882,-1.43680,0
-9.40086,-1.44895,0
-9.44484,-1.46184,0
-9.48846,-1.47502,0
-9.53231,-1.48857,0
-9.57448,-1.50178,0
-9.61536,-1.51522,0
-9.65693,-1.52939,0
-9.70208,-1.54529,0
-9.74451,-1.56130,0
-9.78766,-1.57869,0
-9.82439,-1.59409,0
-9.86555,-1.61191,0
-9.90785,-1.63074,0
-9.94899,-1.64903,0
-9.99141,-1.66772,0
-10.03056,-1.68535,0
-10.06646,-1.70213,0
-10.10483,-1.72026,0
-10.13638,-1.73555,0
-10.16699,-1.75063,0
-10.19841,-1.76634,0
-10.22896,-1.78169,0
-10.26017,-1.79749,0
-10.29569,-1.81568,0
-10.32926,-1.83272,0
-10.36085,-1.84876,0
-10.39207,-1.86408,0
-10.42292,-1.87962,0
-10.45405,-1.89558,0
-10.48624,-1.91231,0
-10.51715,-1.92861,0
-10.54741,-1.94460,0
-10.57652,-1.96079,0
-10.60583,-1.97739,0
-10.63546,-1.99381,0
-10.66458,-2.01027,0
-10.69445,-2.02763,0
-10.72085,-2.04319,0
-10.75082,-2.06075,0
-10.77948,-2.07772,0
-10.80896,-2.09554,0
-10.83361,-2.11080,0
-10.86139,-2.12876,0
-10.88823,-2.14681,0
-10.91561,-2.16527,0
-10.94043,-2.18200,0
-10.96574,-2.19979,0
-10.99209,-2.21865,0
-11.01590,-2.23633,0
-11.03888,-2.25336,0
-11.06266,-2.27164,0
-11.08426,-2.28851,0
-11.10744,-2.30688,0
-11.12764,-2.32303,0
-11.14660,-2.33870,0
-11.16453,-2.35386,0
-11.18502,-2.37182,0
-11.20665,-2.39080,0
-11.22537,-2.40771,0
-11.24695,-2.42767,0
-11.26975,-2.44928,0
-11.29239,-2.47091,0
-11.31421,-2.49301,0
-11.33687,-2.51654,0
-11.35936,-2.53984,0
-11.38537,-2.56745,0
-11.40941,-2.59379,0
-11.43367,-2.62230,0
-11.45498,-2.64807,0
-11.47695,-2.67487,0
-11.50446,-2.70728,0
-11.53108,-2.74024,0
-11.55839,-2.77667,0
-11.58691,-2.81697,0
-11.60577,-2.84288,0
-11.62706,-2.87307,0
-11.64526,-2.89902,0
-11.67314,-2.93701,0
-11.69963,-2.97235,0
-11.72311,-3.00333,0
-11.74524,-3.03208,0
-11.75724,-3.04631,0
-11.76314,-3.05141,0
-11.77741,-3.06863,0
-11.78132,-3.07698,0
-11.79113,-3.08092,0
-11.81738,-3.09810,0
-11.83022,-3.11384,0
-11.83046,-3.11416,0
-11.83046,-3.11416,0
-11.83046,-3.11416,0
-11.83046,-3.11416,0
-11.83046,-3.11415,1
-11.83046,-3.11415,1
-11.83046,-3.11415,1
-11.83046,-3.11415,1
-11.83046,-3.11415,1
-11.83046,-3.11415,1
-11.83046,-3.11415,1
-11.82944,-1.09379,1
-11.83114,-1.12691,0
-11.83160,-1.16421,0
-11.83208,-1.20368,0
-11.83158,-1.23912,0
-11.83039,-1.27225,0
-11.82907,-1.29864,0
-11.82643,-1.32998,0
-11.82337,-1.36620,0
-11.81858,-1.40540,0
-11.81471,-1.43213,0
-11.80702,-1.46968,0
-11.79947,-1.50164,0
-11.79385,-1.52556,0
-11.78280,-1.56016,0
-11.76957,-1.60027,0
-11.75592,-1.63796,0
-11.73722,-1.68370,0
-11.72232,-1.71927,0
-11.70191,-1.76087,0
-11.68212,-1.79892,0
-11.66573,-1.82794,0
-11.64971,-1.85382,0
-11.63155,-1.87953,0
-11.61240,-1.90466,0
-11.59298,-1.92762,0
-11.57298,-1.94967,0
-11.55357,-1.97013,0
-11.53163,-1.99138,0
-11.51046,-2.01129,0
-11.48528,-2.03315,0
-11.46078,-2.05249,0
-11.43083,-2.07585,0
-11.40594,-2.09383,0
-11.36183,-2.12376,0
-11.32838,-2.14524,0
-11.29081,-2.16769,0
-11.24658,-2.19239,0
-11.20865,-2.21310,0
-11.18163,-2.22720,0
-11.15035,-2.24316,0
-11.12636,-2.25523,0
-11.09599,-2.26969,0
-11.06608,-2.28325,0
-11.03399,-2.29728,0
-11.00494,-2.30965,0
-10.97891,-2.32067,0
-10.95007,-2.33269,0
-10.92309,-2.34355,0
-10.89502,-2.35449,0
-10.86888,-2.36449,0
-10.84152,-2.37463,0
-10.81027,-2.38559,0
-10.77910,-2.39612,0
-10.74410,-2.40708,0
-10.69167,-2.42144,0
-10.63830,-2.43413,0
-10.58394,-2.44526,0
-10.53625,-2.45421,0
-10.50733,-2.45933,0
-10.46564,-2.46633,0
-10.43740,-2.47045,0
-10.40544,-2.47517,0
-10.37501,-2.47982,0
-10.34598,-2.48327,0
-10.31066,-2.48808,0
-10.27827,-2.49195,0
-10.24801,-2.49521,0
-10.22257,-2.49810,0
-10.19247,-2.50127,0
-10.16204,-2.50450,0
-10.13158,-2.50798,0
-10.10326,-2.51123,0
-10.07035,-2.51508,0
-10.04025,-2.51870,0
-10.00835,-2.52229,0
-9.97382,-2.52591,0
-9.94453,-2.53009,0
-9.91722,-2.53382,0
-9.87499,-2.53870,0
-9.84540,-2.54151,0
-9.81583,-2.54450,0
-9.78177,-2.54856,0
-9.73971,-2.55432,0
-9.70788,-2.55780,0
-9.67192,-2.56129,0
-9.63396,-2.56617,0
-9.59252,-2.57194,0
-9.54190,-2.57745,0
-9.48955,-2.58345,0
-9.44310,-2.58973,0
-9.39340,-2.59894,0
-9.34115,-2.60798,0
-9.29161,-2.61760,0
-9.23733,-2.62795,0
-9.20219,-2.63533,0
-9.15535,-2.64064,0
-9.10591,-2.64623,0
-9.05242,-2.65249,0
-8.99888,-2.65939,0
-8.94214,-2.66753,0
-8.88817,-2.67565,0
-8.83546,-2.68444,0
-8.78493,-2.69335,0
-8.73118,-2.70389,0
-8.68474,-2.71361,0
-8.63021,-2.72528,0
-8.59025,-2.73457,0
-8.56343,-2.74143,0
-8.51657,-2.74904,0
-8.47128,-2.75613,0
-8.41120,-2.76433,0
-8.35779,-2.77102,0
-8.31105,-2.77620,0
-8.26332,-2.78117,0
-8.21055,-2.78569,0
-8.16594,-2.78884,0
-8.11778,-2.79161,0
-8.07499,-2.79305,0
-8.02892,-2.79377,0
-7.98457,-2.79440,0
-7.93708,-2.79501,0
-7.89192,-2.79532,0
-7.84934,-2.79567,0
-7.81327,-2.79478,0
-7.76744,-2.79420,0
-7.72608,-2.79396,0
-7.68551,-2.79237,0
-7.63652,-2.78936,0
-7.58740,-2.78602,0
-7.53939,-2.78190,0
-7.50272,-2.77906,0
-7.45488,-2.77507,0
-7.40787,-2.77106,0
-7.36360,-2.76809,0
-7.32138,-2.76473,0
-7.28099,-2.76159,0
-7.23948,-2.75854,0
-7.19093,-2.75548,0
-7.14283,-2.75299,0
-7.09961,-2.75003,0
-7.06172,-2.74849,0
-7.01924,-2.74634,0
-6.98101,-2.74465,0
-6.94380,-2.74371,0
-6.91021,-2.74308,0
-6.87586,-2.74262,0
-6.83613,-2.74368,0
-6.80207,-2.74499,0
-6.76514,-2.74710,0
-6.73233,-2.74922,0
-6.69376,-2.75145,0
-6.65555,-2.75376,0
-6.61612,-2.75606,0
-6.57631,-2.75940,0
-6.53660,-2.76232,0
-6.49970,-2.76518,0
-6.46430,-2.76861,0
-6.42317,-2.77335,0
-6.38578,-2.77838,0
-6.34663,-2.78444,0
-6.30657,-2.79055,0
-6.26885,-2.79718,0
-6.23118,-2.80326,0
-6.19131,-2.81004,0
-6.15306,-2.81720,0
-6.11704,-2.82437,0
-6.08360,-2.83156,0
-6.04320,-2.84111,0
-6.00479,-2.85041,0
-5.96593,-2.86028,0
-5.92810,-2.86993,0
-5.88908,-2.88087,0
-5.84795,-2.89126,0
-5.80543,-2.90273,0
-5.76368,-2.91451,0
-5.72333,-2.92598,0
-5.68047,-2.93980,0
-5.63717,-2.95365,0
-5.59996,-2.96568,0
-5.55484,-2.97831,0
-5.51045,-2.99083,0
-5.46956,-3.00379,0
-5.41904,-3.01979,0
-5.36823,-3.03566,0
-5.31068,-3.05464,0
-5.25503,-3.07366,0
-5.20236,-3.09051,0
-5.14362,-3.11070,0
-5.09881,-3.12643,0
-5.04085,-3.14314,0
-4.98512,-3.15723,0
-4.94343,-3.16595,0
-4.90690,-3.17179,0
-4.87083,-3.17514,0
-4.83640,-3.17899,0
-4.80860,-3.18211,0
-4.77614,-3.18628,0
-4.75149,-3.18905,0
-4.72860,-3.19202,0
-4.70567,-3.19508,0
-4.68198,-3.19696,0
-4.65658,-3.19840,0
-4.64507,-3.19949,0
-4.63564,-3.19960,0
-4.62594,-3.20113,0
-4.61497,-3.20168,0
-4.60043,-3.20432,0
-4.58433,-3.20597,0
-4.55531,-3.21075,0
-4.52695,-3.21474,0
-4.50569,-3.21745,0
-4.48247,-3.22138,0
-4.46604,-3.22416,0
-4.44205,-3.22977,0
-4.41873,-3.23610,0
-4.37788,-3.24984,0
-4.34943,-3.25970,0
-4.31847,-3.27152,0
-4.28330,-3.28601,0
-4.24926,-3.30061,0
-4.22332,-3.31254,0
-4.19205,-3.32733,0
-4.18507,-3.33135,0
-4.17794,-3.33409,0
-4.17356,-3.33622,0
-4.16958,-3.33930,0
-4.16753,-3.34220,0
-4.16415,-3.34429,0
-4.15866,-3.34832,0
-4.15551,-3.35141,0
-4.14977,-3.35157,0
-4.14230,-3.35333,0
-4.13602,-3.35427,0
-4.13360,-3.35731,0
-4.13162,-3.36052,0
-4.12915,-3.36420,0
-4.12145,-3.37065,0
-4.10915,-3.38028,0
-4.10570,-3.38277,0
-4.10570,-3.38277,0
-4.10570,-3.38277,0
-4.10570,-3.38277,0
-4.10570,-3.38277,1
-4.10570,-3.38277,1
-4.10570,-3.38277,1
-4.10570,-3.38277,1
-4.10570,-3.38277,1
-4.10570,-3.38277,1
-4.10570,-3.38277,1
-4.10571,-3.38277,1
-4.10571,-3.38277,1
-4.10571,-3.38277,1
-4.10571,-3.38277,1
-4.10571,-3.38277,1
-4.10571,-3.38277,1
-4.10571,-3.38278,1
-4.10571,-3.38278,1
-4.10571,-3.38278,1
-4.10571,-3.38278,1
-4.10571,-3.38278,1
-5.79946,-3.38342,1
-5.76049,-3.38228,0
-5.72566,-3.38140,0
-5.69177,-3.38079,0
-5.65331,-3.38015,0
-5.61390,-3.37954,0
-5.57910,-3.37757,0
-5.54840,-3.37622,0
-5.51577,-3.37458,0
-5.47914,-3.37302,0
-5.44839,-3.37139,0
-5.41136,-3.36925,0
-5.38116,-3.36759,0
-5.35048,-3.36618,0
-5.31150,-3.36364,0
-5.27546,-3.36222,0
-5.24185,-3.36008,0
-5.21106,-3.35837,0
-5.17563,-3.35638,0
-5.13749,-3.35425,0
-5.10002,-3.35230,0
-5.05927,-3.35029,0
-5.02207,-3.34903,0
-4.98359,-3.34774,0
-4.93587,-3.34637,0
-4.88339,-3.34617,0
-4.84544,-3.34658,0
-4.80452,-3.34599,0
-4.76509,-3.34627,0
-4.73476,-3.34630,0
-4.70191,-3.34733,0
-4.68206,-3.34855,0
-4.65371,-3.34751,0
-4.62383,-3.34474,0
-4.58471,-3.34232,0
-4.56328,-3.34051,0
-4.52708,-3.33824,0
-4.49684,-3.33763,0
-4.45361,-3.33537,0
-4.42025,-3.33202,0
-4.39073,-3.32756,0
-4.36702,-3.32374,0
-4.32684,-3.32114,0
-4.29565,-3.31961,0
-4.26563,-3.31944,0
-4.23892,-3.31999,0
-4.22870,-3.32272,0
-4.21948,-3.32470,0
-4.20814,-3.32591,0
-4.20077,-3.32831,0
-4.17134,-3.31840,0
-4.15435,-3.31295,0
-4.14136,-3.30439,0
-4.13976,-3.30055,0
-4.13601,-3.29282,0
-4.12562,-3.27701,0
-4.12199,-3.27252,0
-4.11761,-3.26893,0
-4.10570,-3.26052,0
-4.10570,-3.26052,0
-4.10570,-3.26052,0
-4.10570,-3.26052,0
-4.10570,-3.26052,0
-4.10570,-3.26052,1
-4.10570,-3.26052,1
-4.10570,-3.26052,1
-4.10570,-3.26052,1
-4.10570,-3.26052,1
-4.10570,-3.26052,1
-4.10570,-3.26052,1
-4.10570,-3.26052,1
-4.10570,-3.26052,1
-4.10571,-3.26052,1
-4.10571,-3.26052,1
-6.16120,-3.26181,1
-6.18691,-3.26183,0
-6.17932,-3.26651,0
-6.17932,-3.26651,0
-4.22828,-3.26559,0
-4.22828,-3.26559,0
-4.22828,-3.26559,0
-5.52737,-3.30855,0
-5.52738,-3.30855,0
-5.52988,-3.30863,0
-5.47670,-3.30687,0
-5.44279,-3.30575,0
-5.44279,-3.30575,0
-5.40632,-3.30419,0
-5.36770,-3.30321,0
-5.33408,-3.30228,0
-5.29486,-3.30169,0
-5.25642,-3.30126,0
-5.22278,-3.30115,0
-5.18133,-3.30122,0
-5.14764,-3.30099,0
-5.11917,-3.30127,0
-5.08380,-3.30163,0
-5.04458,-3.30228,0
-5.00676,-3.30286,0
-4.96516,-3.30330,0
-4.92267,-3.30351,0
-4.88029,-3.30411,0
-4.83604,-3.30532,0
-4.79614,-3.30628,0
-4.76974,-3.30801,0
-4.74163,-3.30873,0
-4.71781,-3.30907,0
-4.69410,-3.30901,0
-4.66690,-3.30691,0
-4.64779,-3.30562,0
-4.62215,-3.30289,0
-4.59091,-3.30178,0
-4.57099,-3.30298,0
-4.54772,-3.30104,0
-4.52265,-3.29883,0
-4.49107,-3.29720,0
-4.46165,-3.29614,0
-4.42012,-3.29695,0
-4.38521,-3.29813,0
-4.34384,-3.30012,0
-4.30926,-3.30293,0
-4.27893,-3.30572,0
-4.24960,-3.30966,0
-4.23294,-3.31256,0
-4.21711,-3.31425,0
-4.21355,-3.31441,0
-4.20942,-3.31537,0
-4.20507,-3.31557,0
-4.20057,-3.31744,0
-4.19198,-3.32146,0
-4.18321,-3.32545,0
-4.17176,-3.32461,0
-4.14995,-3.32864,0
-4.12140,-3.33103,0
-4.10569,-3.32992,0
-4.10569,-3.32992,0
-4.10569,-3.32992,0
-4.10569,-3.32992,0
-4.10569,-3.32992,0
-4.10570,-3.32992,1
-4.10570,-3.32992,1
-4.10570,-3.32992,1
-6.33280,-3.33094,1
