x,y
-5.340054321112324,-2.70699204451576
-5.345519575581759,-2.695505754843792
-5.350182022602765,-2.6849981314548
-5.355248993657597,-2.673409886716639
-5.361562879860869,-2.661725173799066
-5.366820433465206,-2.649503603879429
-5.372434521282852,-2.6360894161614223
-5.378071604374484,-2.6246410595945155
-5.384281793377587,-2.6109600828274324
-5.3902390237063935,-2.596999300749317
-5.395906934328206,-2.5839587305569833
-5.401896738432749,-2.5700324181291543
-5.407343848366942,-2.5575067825525606
-5.412893476462112,-2.543784967548883
-5.4196202217109795,-2.529521389234646
-5.425855399772181,-2.514342789066398
-5.432956138459191,-2.499551125100431
-5.439368976688662,-2.485974123584585
-5.445692515095791,-2.4733353833250984
-5.453261954255327,-2.458014698474825
-5.458931581265476,-2.4463061116735387
-5.465524685877595,-2.4327236869238735
-5.471430874885061,-2.4195338312644745
-5.477049381981092,-2.407975572297087
-5.482826090942012,-2.3964337506617257
-5.491116199254942,-2.382452408700905
-5.500198850810612,-2.3667947358835386
-5.506763164203983,-2.353790654123395
-5.514474245217903,-2.3400700078320593
-5.52265234392382,-2.325646330796338
-5.5316670129759595,-2.3096815550435976
-5.538277483382807,-2.2989358803635414
-5.547746616010066,-2.2838901107678584
-5.556944802730256,-2.269767280015296
-5.5666958187571005,-2.2568066487700045
-5.574870068414659,-2.243441006998294
-5.584462681466464,-2.2293895532244563
-5.593598950521481,-2.2148005773724635
-5.602011117729828,-2.202295936090024
-5.611344574124568,-2.187788599739142
-5.618117628318011,-2.175266180152513
-5.6268013771382765,-2.162084225146626
-5.635880681215004,-2.150232422754025
-5.645101515744274,-2.136177265890265
-5.654980616733778,-2.1229326294795614
-5.665749516657243,-2.1075008687598196
-5.676621269686847,-2.0923507377051456
-5.687249397701328,-2.0778840508682457
-5.698389527526138,-2.063286970632536
-5.7101592769380645,-2.0477758417264385
-5.721088963894611,-2.0334641774620947
-5.732811289746236,-2.0184087804957254
-5.744830013327937,-2.0039727953700397
-5.758305971935571,-1.9886177350036323
-5.770976499781917,-1.9734469304470228
-5.7835216460353625,-1.9584394412197739
-5.795803930310283,-1.9451676076392783
-5.8080663048983405,-1.9327585939704914
-5.82113882249367,-1.9189437480369052
-5.831049949905972,-1.9078478802572907
-5.842064615923567,-1.896302451007868
-5.8539311871968325,-1.882942813675823
-5.8672423723270075,-1.8715568293593206
-5.878876568696634,-1.8601815768150607
-5.891832602706094,-1.8484379748586648
-5.906016933520148,-1.8360401138344578
-5.919399375770053,-1.8232043957175965
-5.935132495342235,-1.8116522186713913
-5.950756533216629,-1.7994169386565573
-5.96636585628639,-1.788119830318011
-5.982351224601728,-1.7787013369652154
-5.998773007264871,-1.7695991608513693
-6.010278385213598,-1.7630099988669068
-6.02129560090809,-1.7568515062308803
-6.032807837229406,-1.7507937263253495
-6.044481060367937,-1.7447515707953731
-6.055265082268087,-1.7390257106890117
-6.066672250361518,-1.7319005168780652
-6.081038155607876,-1.7248597545433886
-6.09618146805957,-1.7172222356267572
-6.110037819398257,-1.7104200019475146
-6.124916975789828,-1.7036038481784936
-6.141445450115024,-1.6961136438601678
-6.152037316514381,-1.6908930732982521
-6.165446286239399,-1.684515094232059
-6.181084091222495,-1.6776810695942845
-6.19431406834808,-1.6718016144233416
-6.209589559481249,-1.6654501459839075
-6.2255426322472776,-1.6589233313733383
-6.2405969703604605,-1.6527042633036308
-6.255873091456891,-1.646879827479925
-6.27083387457478,-1.641954424989892
-6.285318840961107,-1.6372144044175165
-6.2981846956947125,-1.6332159671127748
-6.312005669982689,-1.628702591832792
-6.324306058628207,-1.625228281736703
